country_code,date_start,date_end,country_name,indicator_code,indicator_name,month,year,indicator_value
AND,2000-01-01,2000-01-31,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",January,2000,69.750392
AND,2001-01-01,2001-01-31,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",January,2001,72.955186
AND,2002-01-01,2002-01-31,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",January,2002,76.198847
AND,2003-01-01,2003-01-31,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",January,2003,79.750527
AND,2004-01-01,2004-01-31,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",January,2004,81.91121
AND,2005-01-01,2005-01-31,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",January,2005,83.385668
AND,2006-01-01,2006-01-31,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",January,2006,85.184691
AND,2007-01-01,2007-01-31,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",January,2007,87.132088
AND,2008-01-01,2008-01-31,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",January,2008,88.736372
AND,2009-01-01,2009-01-31,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",January,2009,92.862998
AND,2010-01-01,2010-01-31,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",January,2010,92.260232
AND,2011-01-01,2011-01-31,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",January,2011,92.417878
AND,2012-01-01,2012-01-31,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",January,2012,93.252477
AND,2013-01-01,2013-01-31,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",January,2013,95.839732
AND,2014-01-01,2014-01-31,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",January,2014,98.148788
AND,2015-01-01,2015-01-31,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",January,2015,99.261587
AND,2016-01-01,2016-01-31,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",January,2016,100.485664
AND,2017-01-01,2017-01-31,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",January,2017,102.71126
AND,2018-01-01,2018-01-31,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",January,2018,105.159416
AND,2019-01-01,2019-01-31,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",January,2019,106.272214
AND,2020-01-01,2020-01-31,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",January,2020,108.49781
AND,2021-01-01,2021-01-31,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",January,2021,110.167007
AND,2022-01-01,2022-01-31,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",January,2022,113.616681
AND,2023-01-01,2023-01-31,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",January,2023,129.640973
AND,2024-01-01,2024-01-31,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",January,2024,139.099757
AND,2000-02-01,2000-02-29,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",February,2000,70.017458
AND,2001-02-01,2001-02-28,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",February,2001,73.222252
AND,2002-02-01,2002-02-28,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",February,2002,76.504866
AND,2003-02-01,2003-02-28,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",February,2003,79.935994
AND,2004-02-01,2004-02-29,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",February,2004,82.031763
AND,2005-02-01,2005-02-28,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",February,2005,83.534041
AND,2006-02-01,2006-02-28,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",February,2006,85.351611
AND,2007-02-01,2007-02-28,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",February,2007,87.243368
AND,2008-02-01,2008-02-29,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",February,2008,89.116578
AND,2009-02-01,2009-02-28,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",February,2009,92.807358
AND,2010-02-01,2010-02-28,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",February,2010,92.269505
AND,2011-02-01,2011-02-28,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",February,2011,92.473518
AND,2012-02-01,2012-02-29,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",February,2012,93.475037
AND,2013-02-01,2013-02-28,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",February,2013,95.978832
AND,2014-02-01,2014-02-28,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",February,2014,97.926229
AND,2015-02-01,2015-02-28,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",February,2015,99.150307
AND,2016-02-01,2016-02-29,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",February,2016,100.263105
AND,2017-02-01,2017-02-28,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",February,2017,103.824059
AND,2018-02-01,2018-02-28,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",February,2018,105.048136
AND,2019-02-01,2019-02-28,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",February,2019,106.272214
AND,2020-02-01,2020-02-29,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",February,2020,108.163971
AND,2021-02-01,2021-02-28,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",February,2021,110.055728
AND,2022-02-01,2022-02-28,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",February,2022,114.50692
AND,2023-02-01,2023-02-28,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",February,2023,132.422969
AND,2024-02-01,2024-02-29,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",February,2024,138.543358
AND,2000-03-01,2000-03-31,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",March,2000,70.284524
AND,2001-03-01,2001-03-31,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",March,2001,73.489318
AND,2002-03-01,2002-03-31,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",March,2002,76.810886
AND,2003-03-01,2003-03-31,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",March,2003,80.12146
AND,2004-03-01,2004-03-31,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",March,2004,82.152316
AND,2005-03-01,2005-03-31,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",March,2005,83.682414
AND,2006-03-01,2006-03-31,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",March,2006,85.518531
AND,2007-03-01,2007-03-31,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",March,2007,87.354647
AND,2008-03-01,2008-03-31,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",March,2008,89.496784
AND,2009-03-01,2009-03-31,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",March,2009,92.751718
AND,2010-03-01,2010-03-31,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",March,2010,92.278779
AND,2011-03-01,2011-03-31,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",March,2011,92.529158
AND,2012-03-01,2012-03-31,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",March,2012,93.697596
AND,2013-03-01,2013-03-31,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",March,2013,96.117932
AND,2014-03-01,2014-03-31,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",March,2014,97.36983
AND,2015-03-01,2015-03-31,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",March,2015,98.816467
AND,2016-03-01,2016-03-31,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",March,2016,100.151825
