country_code,date_start,date_end,country_name,indicator_code,indicator_name,year,indicator_type,indicator_value
AND,1970-01-01,1970-12-31,Andorra,22024,GDP Deflator,1970,SLC,5.1810756105
AND,1971-01-01,1971-12-31,Andorra,22024,GDP Deflator,1971,SLC,5.5875838697
AND,1972-01-01,1972-12-31,Andorra,22024,GDP Deflator,1972,SLC,6.0635300856
AND,1973-01-01,1973-12-31,Andorra,22024,GDP Deflator,1973,SLC,6.7820338457
AND,1974-01-01,1974-12-31,Andorra,22024,GDP Deflator,1974,SLC,7.8634365632
AND,1975-01-01,1975-12-31,Andorra,22024,GDP Deflator,1975,SLC,9.1830612515
AND,1976-01-01,1976-12-31,Andorra,22024,GDP Deflator,1976,SLC,10.697340954
AND,1977-01-01,1977-12-31,Andorra,22024,GDP Deflator,1977,SLC,13.1987076079
AND,1978-01-01,1978-12-31,Andorra,22024,GDP Deflator,1978,SLC,15.9217385849
AND,1979-01-01,1979-12-31,Andorra,22024,GDP Deflator,1979,SLC,18.6175486955
AND,1980-01-01,1980-12-31,Andorra,22024,GDP Deflator,1980,SLC,21.1038901083
AND,1981-01-01,1981-12-31,Andorra,22024,GDP Deflator,1981,SLC,23.7104722083
AND,1982-01-01,1982-12-31,Andorra,22024,GDP Deflator,1982,SLC,26.9309052271
AND,1983-01-01,1983-12-31,Andorra,22024,GDP Deflator,1983,SLC,30.1314401169
AND,1984-01-01,1984-12-31,Andorra,22024,GDP Deflator,1984,SLC,33.4051408258
AND,1985-01-01,1985-12-31,Andorra,22024,GDP Deflator,1985,SLC,36.27647292
AND,1986-01-01,1986-12-31,Andorra,22024,GDP Deflator,1986,SLC,40.2229237857
AND,1987-01-01,1987-12-31,Andorra,22024,GDP Deflator,1987,SLC,42.6138541566
AND,1988-01-01,1988-12-31,Andorra,22024,GDP Deflator,1988,SLC,45.1434663098
AND,1989-01-01,1989-12-31,Andorra,22024,GDP Deflator,1989,SLC,48.256647352
AND,1990-01-01,1990-12-31,Andorra,22024,GDP Deflator,1990,SLC,51.7920505352
AND,1991-01-01,1991-12-31,Andorra,22024,GDP Deflator,1991,SLC,55.3839015441
AND,1992-01-01,1992-12-31,Andorra,22024,GDP Deflator,1992,SLC,59.1005884131
AND,1993-01-01,1993-12-31,Andorra,22024,GDP Deflator,1993,SLC,61.7821247249
AND,1994-01-01,1994-12-31,Andorra,22024,GDP Deflator,1994,SLC,64.179173531
AND,1995-01-01,1995-12-31,Andorra,22024,GDP Deflator,1995,SLC,67.3452154024
AND,1996-01-01,1996-12-31,Andorra,22024,GDP Deflator,1996,SLC,69.1974075024
AND,1997-01-01,1997-12-31,Andorra,22024,GDP Deflator,1997,SLC,70.7392299765
AND,1998-01-01,1998-12-31,Andorra,22024,GDP Deflator,1998,SLC,71.8000081862
AND,1999-01-01,1999-12-31,Andorra,22024,GDP Deflator,1999,SLC,73.7615675964
AND,2000-01-01,2000-12-31,Andorra,22024,GDP Deflator,2000,SLC,76.8017982276
AND,2001-01-01,2001-12-31,Andorra,22024,GDP Deflator,2001,SLC,79.1680149116
AND,2002-01-01,2002-12-31,Andorra,22024,GDP Deflator,2002,SLC,81.7327001273
AND,2003-01-01,2003-12-31,Andorra,22024,GDP Deflator,2003,SLC,84.3296938703
AND,2004-01-01,2004-12-31,Andorra,22024,GDP Deflator,2004,SLC,86.8952553016
