Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,,,#date+year,#indicator+type,#indicator+value+num,,
AND,2000-01-01,2000-01-31,6,'020,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2000,2000,,69.750392,I,base year is 2015
AND,2001-01-01,2001-01-31,6,'020,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2001,2001,,72.955186,I,base year is 2015
AND,2002-01-01,2002-01-31,6,'020,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2002,2002,,76.198847,I,base year is 2015
AND,2003-01-01,2003-01-31,6,'020,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2003,2003,,79.750527,I,base year is 2015
AND,2004-01-01,2004-01-31,6,'020,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2004,2004,,81.911210,I,base year is 2015
AND,2005-01-01,2005-01-31,6,'020,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2005,2005,,83.385668,I,base year is 2015
AND,2006-01-01,2006-01-31,6,'020,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2006,2006,,85.184691,I,base year is 2015
AND,2007-01-01,2007-01-31,6,'020,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2007,2007,,87.132088,I,base year is 2015
AND,2008-01-01,2008-01-31,6,'020,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2008,2008,,88.736372,I,base year is 2015
AND,2009-01-01,2009-01-31,6,'020,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2009,2009,,92.862998,I,base year is 2015
AND,2010-01-01,2010-01-31,6,'020,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2010,2010,,92.260232,I,base year is 2015
AND,2011-01-01,2011-01-31,6,'020,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2011,2011,,92.417878,I,base year is 2015
AND,2012-01-01,2012-01-31,6,'020,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2012,2012,,93.252477,I,base year is 2015
AND,2013-01-01,2013-01-31,6,'020,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2013,2013,,95.839732,I,base year is 2015
AND,2014-01-01,2014-01-31,6,'020,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2014,2014,,98.148788,X,base year is 2015
AND,2015-01-01,2015-01-31,6,'020,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2015,2015,,99.261587,X,base year is 2015
AND,2016-01-01,2016-01-31,6,'020,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2016,2016,,100.485664,X,base year is 2015
AND,2017-01-01,2017-01-31,6,'020,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2017,2017,,102.711260,X,base year is 2015
AND,2018-01-01,2018-01-31,6,'020,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2018,2018,,105.159416,X,base year is 2015
AND,2019-01-01,2019-01-31,6,'020,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2019,2019,,106.272214,X,base year is 2015
AND,2020-01-01,2020-01-31,6,'020,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2020,2020,,108.497810,X,base year is 2015
AND,2021-01-01,2021-01-31,6,'020,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2021,2021,,110.167007,X,base year is 2015
AND,2022-01-01,2022-01-31,6,'020,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2022,2022,,113.616681,X,base year is 2015
AND,2023-01-01,2023-01-31,6,'020,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2023,2023,,129.640973,X,base year is 2015
AND,2024-01-01,2024-01-31,6,'020,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2024,2024,,139.099757,X,base year is 2015
AND,2000-02-01,2000-02-29,6,'020,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2000,2000,,70.017458,I,base year is 2015
AND,2001-02-01,2001-02-28,6,'020,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2001,2001,,73.222252,I,base year is 2015
AND,2002-02-01,2002-02-28,6,'020,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2002,2002,,76.504866,I,base year is 2015
AND,2003-02-01,2003-02-28,6,'020,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2003,2003,,79.935994,I,base year is 2015
AND,2004-02-01,2004-02-29,6,'020,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2004,2004,,82.031763,I,base year is 2015
AND,2005-02-01,2005-02-28,6,'020,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2005,2005,,83.534041,I,base year is 2015
AND,2006-02-01,2006-02-28,6,'020,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2006,2006,,85.351611,I,base year is 2015
AND,2007-02-01,2007-02-28,6,'020,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2007,2007,,87.243368,I,base year is 2015
AND,2008-02-01,2008-02-29,6,'020,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2008,2008,,89.116578,I,base year is 2015
AND,2009-02-01,2009-02-28,6,'020,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2009,2009,,92.807358,I,base year is 2015
AND,2010-02-01,2010-02-28,6,'020,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2010,2010,,92.269505,I,base year is 2015
AND,2011-02-01,2011-02-28,6,'020,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2011,2011,,92.473518,I,base year is 2015
AND,2012-02-01,2012-02-29,6,'020,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2012,2012,,93.475037,I,base year is 2015
AND,2013-02-01,2013-02-28,6,'020,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2013,2013,,95.978832,I,base year is 2015
AND,2014-02-01,2014-02-28,6,'020,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2014,2014,,97.926229,X,base year is 2015
AND,2015-02-01,2015-02-28,6,'020,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2015,2015,,99.150307,X,base year is 2015
AND,2016-02-01,2016-02-29,6,'020,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2016,2016,,100.263105,X,base year is 2015
AND,2017-02-01,2017-02-28,6,'020,Andorra,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2017,2017,,103.824059,X,base year is 2015
