Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,
AND,1970-01-01,1970-12-31,6,'020,Andorra,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1970,1970,SLC,5.1810756105,E
AND,1971-01-01,1971-12-31,6,'020,Andorra,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1971,1971,SLC,5.5875838697,E
AND,1972-01-01,1972-12-31,6,'020,Andorra,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1972,1972,SLC,6.0635300856,E
AND,1973-01-01,1973-12-31,6,'020,Andorra,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1973,1973,SLC,6.7820338457,E
AND,1974-01-01,1974-12-31,6,'020,Andorra,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1974,1974,SLC,7.8634365632,E
AND,1975-01-01,1975-12-31,6,'020,Andorra,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1975,1975,SLC,9.1830612515,E
AND,1976-01-01,1976-12-31,6,'020,Andorra,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1976,1976,SLC,10.6973409540,E
AND,1977-01-01,1977-12-31,6,'020,Andorra,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1977,1977,SLC,13.1987076079,E
AND,1978-01-01,1978-12-31,6,'020,Andorra,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1978,1978,SLC,15.9217385849,E
AND,1979-01-01,1979-12-31,6,'020,Andorra,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1979,1979,SLC,18.6175486955,E
AND,1980-01-01,1980-12-31,6,'020,Andorra,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1980,1980,SLC,21.1038901083,E
AND,1981-01-01,1981-12-31,6,'020,Andorra,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1981,1981,SLC,23.7104722083,E
AND,1982-01-01,1982-12-31,6,'020,Andorra,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1982,1982,SLC,26.9309052271,E
