Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Element Code,Element,ISO Currency Code,Currency,Year Code,Year,Months Code,Months,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,,,,,,#date+year,,,#indicator+type,#indicator+value+num,
AND,1999-01-01,1999-12-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,1999,1999,7021,Annual value,,0.938627275833333,X
AND,1999-01-01,1999-01-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,1999,1999,7001,January,,0.861489687968435,X
AND,1999-02-01,1999-02-28,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,1999,1999,7002,February,,0.892247705808086,X
AND,1999-03-01,1999-03-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,1999,1999,7003,March,,0.918867954679846,X
AND,1999-04-01,1999-04-30,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,1999,1999,7004,April,,0.934194490800315,X
AND,1999-05-01,1999-05-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,1999,1999,7005,May,,0.940902370177896,X
AND,1999-06-01,1999-06-30,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,1999,1999,7006,June,,0.963619002566773,X
AND,1999-07-01,1999-07-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,1999,1999,7007,July,,0.965933289134551,X
AND,1999-08-01,1999-08-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,1999,1999,7008,August,,0.943080787729702,X
AND,1999-09-01,1999-09-30,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,1999,1999,7009,September,,0.952310868897069,X
AND,1999-10-01,1999-10-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,1999,1999,7010,October,,0.934026588623585,X
AND,1999-11-01,1999-11-30,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,1999,1999,7011,November,,0.967283823057434,X
AND,1999-12-01,1999-12-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,1999,1999,7012,December,,0.989106342419659,X
AND,2000-01-01,2000-12-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2000,2000,7021,Annual value,,1.085400833333330,X
AND,2000-01-01,2000-01-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2000,2000,7001,January,,0.986489787481951,X
AND,2000-02-01,2000-02-29,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2000,2000,7002,February,,1.016855591979440,X
AND,2000-03-01,2000-03-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2000,2000,7003,March,,1.036974918732690,X
AND,2000-04-01,2000-04-30,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2000,2000,7004,April,,1.056021965256880,X
AND,2000-05-01,2000-05-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2000,2000,7005,May,,1.103791523884520,X
AND,2000-06-01,2000-06-30,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2000,2000,7006,June,,1.053543978277810,X
AND,2000-07-01,2000-07-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2000,2000,7007,July,,1.064217951836590,X
AND,2000-08-01,2000-08-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2000,2000,7008,August,,1.106125530820060,X
AND,2000-09-01,2000-09-30,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2000,2000,7009,September,,1.146638710522850,X
AND,2000-10-01,2000-10-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2000,2000,7010,October,,1.169373056581700,X
AND,2000-11-01,2000-11-30,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2000,2000,7011,November,,1.167697247949850,X
AND,2000-12-01,2000-12-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2000,2000,7012,December,,1.114434864214890,X
AND,2001-01-01,2001-12-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2001,2001,7021,Annual value,,1.117510000000000,X
AND,2001-01-01,2001-01-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2001,2001,7001,January,,1.065777872513610,X
AND,2001-02-01,2001-02-28,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2001,2001,7002,February,,1.084945834079230,X
AND,2001-03-01,2001-03-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2001,2001,7003,March,,1.099477748069700,X
AND,2001-04-01,2001-04-30,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2001,2001,7004,April,,1.121076233183860,X
AND,2001-05-01,2001-05-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2001,2001,7005,May,,1.143950581334930,X
AND,2001-06-01,2001-06-30,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2001,2001,7006,June,,1.172103926548110,X
AND,2001-07-01,2001-07-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2001,2001,7007,July,,1.161894098634290,X
